property_type,sector,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category,price
1,15,5,4,3,2,1850,0,1,0,1,1,2.5
0,69,4,4,3,3,2650,1,0,1,1,0,3.75
0,79,3,3,1,3,1392,0,0,0,0,0,1.38
0,108,2,2,0,1,758,0,0,0,1,1,0.27
0,78,3,3,4,3,1845,0,0,1,2,0,1.8
0,55,3,3,1,3,1611,0,0,0,2,1,1.38
0,70,2,2,1,1,1041,0,0,0,1,2,1.55
1,30,8,8,2,0,2520,1,0,1,2,2,5.5
0,11,3,4,4,3,2137,1,1,1,0,2,1.49
1,20,3,3,0,2,200,0,0,0,1,1,1.7
0,96,3,3,3,3,1618,0,1,0,2,2,1.05
0,93,3,4,4,3,2315,1,0,2,0,2,2.29
0,18,2,2,3,3,1500,1,1,1,2,2,3.1
0,106,3,2,2,3,1473,0,0,0,1,2,0.8
0,112,3,2,0,1,1120,0,0,0,2,1,0.9
0,112,2,2,2,1,588,0,0,0,1,0,0.28
0,81,2,2,2,3,1500,0,0,0,2,2,1.15
0,8,3,3,3,3,1490,0,0,0,2,0,0.98
0,98,4,4,4,3,2500,1,0,1,1,2,2.05
0,79,3,4,2,3,2056,0,0,1,0,1,1.75
0,6,3,3,4,3,1456,0,1,0,2,1,2
0,93,4,5,4,3,3070,1,0,1,0,2,3.3
0,94,4,5,4,3,2195,1,0,0,2,2,1.6
0,8,3,4,4,1,2544,1,0,0,2,0,2.3
0,83,1,1,2,3,425,0,0,1,1,1,0.37
0,89,3,3,2,1,2813,1,0,0,2,0,4.75
0,82,2,2,3,1,1400,0,0,0,2,2,1.15
0,16,4,4,3,3,3077,1,0,0,2,0,3.25
0,95,3,2,3,3,1667,0,0,1,2,1,1.25
0,10,5,6,4,4,3797,0,0,1,2,2,6.3
0,83,1,1,1,0,869,0,0,0,2,2,1
0,84,4,5,4,3,2625,1,0,0,1,0,3.5
0,78,3,3,4,4,2288,1,0,0,1,1,1.9
0,41,2,2,4,1,1111,0,0,0,2,2,1.2
0,41,3,2,2,4,1857,0,0,0,2,0,1.67
0,90,3,3,0,3,1815,0,0,0,1,0,1.65
1,82,4,5,4,3,2610,1,1,1,2,2,5.4
0,48,2,2,1,3,833,0,0,1,1,2,0.42
0,112,2,2,2,3,694,0,0,0,2,0,0.35
0,99,3,3,3,4,1715,1,0,0,1,2,1.05
0,99,2,2,1,1,1360,0,0,0,2,2,0.64
0,97,3,3,4,3,1561,0,0,0,2,2,0.85
0,98,2,2,3,1,1130,0,0,0,2,0,1.3
0,28,2,2,2,2,1256,0,0,0,1,2,0.8
0,64,4,4,3,3,2253,0,0,1,1,2,2
1,27,6,5,4,3,2430,1,0,0,2,2,4.95
1,36,1,1,0,0,1000,0,0,0,1,1,0.6
0,99,2,2,3,3,1339,0,0,0,1,2,1.3
0,76,3,3,3,3,2047,0,0,1,1,1,2.98
0,45,3,5,3,4,1833,1,0,0,1,0,1
0,81,2,2,2,1,1026,0,0,0,1,1,1.1
0,96,2,2,2,3,1154,0,0,0,0,0,0.83
0,83,2,2,2,3,1084,0,0,0,1,2,0.79
0,56,3,3,3,2,1600,0,0,1,1,1,1.9
0,98,3,3,2,3,1402,0,0,0,2,0,0.9
0,108,2,2,1,1,950,0,0,0,1,0,0.3
0,3,2,2,2,3,1086,0,0,0,1,2,0.67
0,74,3,3,3,1,1828,0,0,0,1,0,3.29
0,18,4,6,4,3,3655.35,1,0,1,0,0,5.2
0,56,4,4,3,0,2200,1,0,1,2,2,3
0,81,3,5,3,3,1527,1,0,0,2,2,1.66
0,79,4,4,2,3,1819,0,0,0,2,2,1.68
0,64,4,4,4,3,2500,0,0,1,2,2,2.05
0,6,2,2,3,0,1368,0,0,0,1,0,1.6
1,27,5,6,4,2,2430,0,0,1,1,2,6
1,33,6,6,2,2,4518,1,0,1,1,2,18
0,93,3,3,0,3,1780,0,0,0,1,2,0.9
1,48,4,4,2,2,1440,0,0,0,1,1,2.35
0,10,3,4,4,3,1345,1,0,0,0,2,1.05
0,83,2,2,1,3,600,0,0,1,1,2,0.55
0,111,4,3,3,2,2007,1,0,0,1,1,1.25
0,90,3,3,3,3,2167,0,0,1,2,1,1.1
0,75,3,4,3,3,2000,1,0,1,2,2,3.45
1,94,3,3,2,1,1700,0,0,0,2,2,1.4
1,72,4,4,4,1,3950,0,0,0,2,0,8.5
1,27,5,5,2,2,4550,0,0,2,2,1,5.7
0,112,2,2,2,1,616,0,0,0,2,0,0.35
0,19,2,2,0,1,1310,0,0,0,2,2,1.83
0,107,3,4,2,3,1350,0,0,1,2,0,1.45
0,8,2,2,3,4,1148,0,0,0,2,0,1.1
0,106,3,3,3,3,1792,1,0,1,2,0,1.55
0,112,2,2,3,1,828,0,0,0,2,2,0.55
0,56,3,3,3,2,1556,1,0,0,1,2,1.79
0,112,2,2,1,3,535,0,0,0,2,1,0.25
0,98,2,2,1,1,97,0,0,0,1,0,1.05
0,104,4,4,4,0,2200,1,0,1,2,0,1.54
0,35,2,2,2,3,1222,0,0,0,2,2,1.6
0,105,2,2,2,3,1186,0,0,2,2,0,0.9
0,11,2,2,4,3,1236,0,0,0,2,2,0.88
0,104,2,2,3,3,1222,0,0,0,0,2,0.65
0,112,2,2,2,3,913,0,0,0,0,2,0.52
1,65,3,3,2,2,2160,1,0,0,1,1,4.7
1,25,2,2,1,2,105,0,0,0,1,1,1.52
0,19,4,4,4,1,2553,1,0,0,1,0,2.9
1,46,2,7,4,3,900,0,1,0,1,2,2.1
1,80,4,5,0,2,330,0,0,0,1,2,1.35
0,17,1,1,1,3,374,0,0,2,2,1,0.5
0,96,2,2,2,3,990,0,0,1,0,1,0.6
0,99,3,2,1,1,1529,0,0,0,1,0,1.25
0,76,3,3,4,3,2047,0,0,1,0,2,2.78
0,80,2,2,1,3,700,0,0,0,1,1,0.36
1,32,5,4,3,2,1350,0,0,0,1,2,4.31
0,108,2,2,2,3,744,0,0,0,1,2,0.48
0,81,2,2,3,3,1222,0,0,0,1,2,1.15
1,82,3,3,4,3,1611,0,0,1,0,1,1.18
0,110,2,2,1,3,611,0,0,0,2,2,0.26
1,80,10,5,3,2,2700,1,0,0,1,1,2.4
0,106,3,1,3,0,1316,0,0,1,2,1,0.56
0,69,2,3,2,3,1250,1,0,1,1,2,2.15
0,71,5,7,3,3,4990,1,0,1,0,2,10.75
1,56,5,4,2,2,3420,1,1,0,2,1,6.75
0,110,2,2,2,1,502,0,0,0,2,0,0.32
0,108,1,1,1,1,422,0,0,0,1,2,0.26
0,6,3,4,4,3,1757,1,0,1,2,0,1.75
1,41,5,6,3,1,4125,1,0,0,2,2,11
1,33,4,3,2,3,1800,0,1,0,1,1,5.8
0,108,2,2,2,1,1364,0,0,0,1,2,0.56
0,93,3,4,4,3,2280,1,0,1,1,2,2.3
0,17,3,3,2,3,1538,0,0,0,2,0,2.25
